time,total_events,window_size,slide
164 ,553569      ,5          ,0.5
165 ,556204      ,5          ,0.5
166 ,558874      ,5          ,0.5
167 ,561472      ,5          ,0.5
168 ,563145      ,5          ,0.5
169 ,566872      ,5          ,0.5
170 ,570110      ,5          ,0.5
171 ,573434      ,5          ,0.5
172 ,575670      ,5          ,0.5
173 ,578107      ,5          ,0.5
174 ,580593      ,5          ,0.5
175 ,583131      ,5          ,0.5
176 ,585527      ,5          ,0.5
177 ,588249      ,5          ,0.5
178 ,590425      ,5          ,0.5
179 ,593015      ,5          ,0.5
180 ,596058      ,5          ,0.5
181 ,599280      ,5          ,0.5
182 ,602129      ,5          ,0.5
183 ,604337      ,5          ,0.5
184 ,606911      ,5          ,0.5
185 ,609305      ,5          ,0.5
186 ,611778      ,5          ,0.5
187 ,614181      ,5          ,0.5
188 ,616644      ,5          ,0.5
189 ,618704      ,5          ,0.5
190 ,621623      ,5          ,0.5
191 ,624635      ,5          ,0.5
192 ,627450      ,5          ,0.5
193 ,630080      ,5          ,0.5
194 ,632380      ,5          ,0.5
195 ,634735      ,5          ,0.5
196 ,637145      ,5          ,0.5
197 ,639275      ,5          ,0.5
198 ,641660      ,5          ,0.5
199 ,643764      ,5          ,0.5
200 ,646134      ,5          ,0.5
201 ,648980      ,5          ,0.5
202 ,651875      ,5          ,0.5
203 ,654453      ,5          ,0.5
204 ,656734      ,5          ,0.5
205 ,659026      ,5          ,0.5
206 ,661393      ,5          ,0.5
207 ,663475      ,5          ,0.5
208 ,665740      ,5          ,0.5
209 ,667991      ,5          ,0.5
210 ,669992      ,5          ,0.5
211 ,672555      ,5          ,0.5
212 ,675386      ,5          ,0.5
213 ,677777      ,5          ,0.5
214 ,680331      ,5          ,0.5
215 ,682462      ,5          ,0.5
216 ,684726      ,5          ,0.5
217 ,686847      ,5          ,0.5
218 ,688905      ,5          ,0.5
219 ,691115      ,5          ,0.5
220 ,693086      ,5          ,0.5
221 ,695264      ,5          ,0.5
222 ,697919      ,5          ,0.5
223 ,700393      ,5          ,0.5
224 ,702887      ,5          ,0.5
225 ,705050      ,5          ,0.5
226 ,707182      ,5          ,0.5
227 ,709282      ,5          ,0.5
228 ,711283      ,5          ,0.5
229 ,713277      ,5          ,0.5
230 ,715365      ,5          ,0.5
231 ,717270      ,5          ,0.5
232 ,719537      ,5          ,0.5
233 ,722221      ,5          ,0.5
234 ,724444      ,5          ,0.5
235 ,726765      ,5          ,0.5
236 ,728820      ,5          ,0.5
237 ,730884      ,5          ,0.5
238 ,732844      ,5          ,0.5
239 ,734777      ,5          ,0.5
240 ,736737      ,5          ,0.5
241 ,738603      ,5          ,0.5
242 ,740395      ,5          ,0.5
243 ,742995      ,5          ,0.5
244 ,745245      ,5          ,0.5
245 ,747533      ,5          ,0.5
246 ,749606      ,5          ,0.5
247 ,751584      ,5          ,0.5
248 ,753502      ,5          ,0.5
249 ,755315      ,5          ,0.5
250 ,757262      ,5          ,0.5
251 ,759075      ,5          ,0.5
252 ,760899      ,5          ,0.5
253 ,763037      ,5          ,0.5
254 ,765403      ,5          ,0.5
255 ,767527      ,5          ,0.5
256 ,769730      ,5          ,0.5
257 ,771676      ,5          ,0.5
258 ,773623      ,5          ,0.5
259 ,775389      ,5          ,0.5
260 ,777214      ,5          ,0.5
261 ,779032      ,5          ,0.5
262 ,780663      ,5          ,0.5
263 ,782608      ,5          ,0.5
264 ,784868      ,5          ,0.5
265 ,786955      ,5          ,0.5
266 ,789166      ,5          ,0.5
267 ,791046      ,5          ,0.5
268 ,792923      ,5          ,0.5
269 ,794736      ,5          ,0.5
270 ,796446      ,5          ,0.5
271 ,798137      ,5          ,0.5
272 ,799864      ,5          ,0.5
273 ,801560      ,5          ,0.5
